accuracy;accuracy_balanced;alpha;balanced_brier_score;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,9751299999999999;0,86769;0,95;;0,0168;spambase;0,95232;dedpul;0,05654;0,95;2935;1666;0,9867299999999999;8;0,94991;0,9870899999999999;0,98869
0,9751299999999999;0,86769;0,95;;0,0168;spambase;0,95232;random_dedpul;0,05654;0,95;2935;1666;0,9867299999999999;8;0,94991;0,9870899999999999;0,98869
0,9751299999999999;0,86769;0,95;;0,0168;spambase;0,95232;baseline_dedpul;0,05654;0,95;2935;1666;0,9867299999999999;8;0,94991;0,9870899999999999;0,98869
0,9754700000000001;0,82599;0,95;;0,01735;spambase;0,95;e1_en;0,13267;0,94988;2935;1666;0,98224;8;0,94991;0,99211;0,98851
0,9754700000000001;0,82599;0,95;;0,01735;spambase;0,95;e3_en;0,13267;0,94988;2935;1666;0,98224;8;0,94991;0,99211;0,98851
0,9754700000000001;0,82599;0,95;;0,01735;spambase;0,95;em_en;0,13267;0,94988;2935;1666;0,98224;8;0,94991;0,99211;0,98851
0,97956;0,8829100000000001;0,95;;0,01612;spambase;0,9525299999999999;dedpul;0,05967000000000001;0,95;2935;1666;0,98819;9;0,94991;0,9903200000000001;0,982
0,97956;0,8829100000000001;0,95;;0,01612;spambase;0,9525299999999999;random_dedpul;0,05967000000000001;0,95;2935;1666;0,98819;9;0,94991;0,9903200000000001;0,982
0,97956;0,8829100000000001;0,95;;0,01612;spambase;0,9525299999999999;baseline_dedpul;0,05967000000000001;0,95;2935;1666;0,98819;9;0,94991;0,9903200000000001;0,982
0,97751;0,8335100000000001;0,95;;0,017159999999999998;spambase;0,95;e1_en;0,15822999999999998;0,95235;2935;1666;0,9829700000000001;9;0,94991;0,99354;0,9824799999999999
0,97751;0,8335100000000001;0,95;;0,017159999999999998;spambase;0,95;e3_en;0,15822999999999998;0,95235;2935;1666;0,9829700000000001;9;0,94991;0,99354;0,9824799999999999
