accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,95;0,5;0,05;0,04665;0,03161;laplace;1;1;0,04842;e3_en;0,23919;0,027180000000000003;0,050289999999999994;0,0;5;0,0;0,0362;0,67062
0,95;0,5;0,05;0,05105;0,03161;laplace;1;1;0,11475999999999999;em_en;0,23096;0,08184;0,11477000000000001;0,0;5;0,0;0,0885;0,67051
0,95;0,5;0,05;0,04858;0,03161;laplace;1;1;0,01205;dedpul;1,2665600000000001;0,0226;0,01206;0,0;6;0,0;0,04274;0,57244
0,95;0,5;0,05;0,04858;0,03161;laplace;1;1;0,01205;random_dedpul;1,2665600000000001;0,0226;0,01206;0,0;6;0,0;0,04274;0,57244
0,8568;0,56463;0,05;0,15559;0,03161;laplace;1;1;0,47978999999999994;baseline_dedpul;0,54906;0,32700999999999997;0,35831999999999997;0,10239;6;0,24;0,34703;0,63363
0,95;0,5;0,05;0,0481;0,03161;laplace;1;1;0,0;e1_en;0,42358;0,02556;0,0177;0,0;6;0,0;0,039810000000000005;0,63135
0,95;0,5;0,05;0,050789999999999995;0,03161;laplace;1;1;0,10277;e3_en;0,25288;0,07606;0,10569;0,0;6;0,0;0,08632000000000001;0,63202
0,95;0,5;0,05;0,0897;0,03161;laplace;1;1;0,25449;em_en;0,34581;0,22236;0,25449;0,0;6;0,0;0,22746;0,6323300000000001
0,9364;0,50421;0,05;0,05729;0,03161;laplace;1;1;0,013819999999999999;dedpul;1,7653900000000002;0,04502;0,013819999999999999;0,075;7;0,024;0,10957;0,49771000000000004
0,9364;0,50421;0,05;0,05729;0,03161;laplace;1;1;0,013819999999999999;random_dedpul;1,7653900000000002;0,04502;0,013819999999999999;0,075;7;0,024;0,10957;0,49771000000000004
0,9336;0,50274;0,05;0,06521;0,03161;laplace;1;1;0,23285;baseline_dedpul;1,48672;0,08893999999999999;0,06299;0,06383;7;0,024;0,1486;0,42696000000000006
0,95;0,5;0,05;0,05044;0,03161;laplace;1;1;0,0;e1_en;1,30284;0,04836;0,0196;0,0;7;0,0;0,06752999999999999;0,42672
0,95;0,5;0,05;0,05074;0,03161;laplace;1;1;0,04566;e3_en;0,36124;0,06305;0,04965;0,0;7;0,0;0,07724;0,39866999999999997
0,95;0,5;0,05;0,05067;0,03161;laplace;1;1;0,027000000000000003;em_en;0,8633700000000001;0,05779;0,03417;0,0;7;0,0;0,07318999999999999;0,40571
